Data,Cliques,Impressões,CPC méd.,Custo
"ter., 8 de abr. de 2025",1,20,"R$ 1,94","R$ 1,94"
"qua., 9 de abr. de 2025",7,117,"R$ 1,79","R$ 12,52"
"qui., 10 de abr. de 2025",97,845,"R$ 0,51","R$ 49,86"
"sex., 11 de abr. de 2025",133,700,"R$ 0,30","R$ 39,87"
"sáb., 12 de abr. de 2025",30,411,"R$ 0,64","R$ 19,06"
"dom., 13 de abr. de 2025",48,534,"R$ 0,35","R$ 16,96"
"seg., 14 de abr. de 2025",48,701,"R$ 0,32","R$ 15,36"
"ter., 15 de abr. de 2025",54,698,"R$ 0,25","R$ 13,71"
"qua., 16 de abr. de 2025",42,335,"R$ 0,24","R$ 9,90"
"qui., 17 de abr. de 2025",7,42,"R$ 0,13","R$ 0,94"
"sex., 18 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sáb., 19 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"dom., 20 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"seg., 21 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"ter., 22 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qua., 23 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qui., 24 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sex., 25 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sáb., 26 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"dom., 27 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"seg., 28 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"ter., 29 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qua., 30 de abr. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qui., 1 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sex., 2 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sáb., 3 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"dom., 4 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"seg., 5 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"ter., 6 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qua., 7 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qui., 8 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sex., 9 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sáb., 10 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"dom., 11 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"seg., 12 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"ter., 13 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qua., 14 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"qui., 15 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
"sex., 16 de mai. de 2025",0,0,"R$ 0,00","R$ 0,00"
